交易日期,证券代码,利率,期限
20190416,SHIBORON.IR,2.883,O/N
20190417,SHIBOR1M.IR,2.779,1M
20190417,SHIBOR1W.IR,2.788,1W
20190417,SHIBOR1Y.IR,3.091,1Y
20190417,SHIBOR2W.IR,2.992,2W
20190417,SHIBOR3M.IR,2.787,3M
20190417,SHIBOR6M.IR,2.861,6M
20190417,SHIBOR9M.IR,2.96,9M
20190417,SHIBORON.IR,2.998,O/N
20190418,SHIBOR1M.IR,2.795,1M
20190418,SHIBOR1W.IR,2.75,1W
20190418,SHIBOR1Y.IR,3.096,1Y
20190418,SHIBOR2W.IR,3.008,2W
20190418,SHIBOR3M.IR,2.806,3M
20190418,SHIBOR6M.IR,2.864,6M
20190418,SHIBOR9M.IR,2.964,9M
20190418,SHIBORON.IR,2.812,O/N
20190419,SHIBOR1M.IR,2.79,1M
20190419,SHIBOR1W.IR,2.692,1W
20190419,SHIBOR1Y.IR,3.095,1Y
20190419,SHIBOR2W.IR,2.882,2W
20190419,SHIBOR3M.IR,2.817,3M
20190419,SHIBOR6M.IR,2.869,6M
20190419,SHIBOR9M.IR,2.969,9M
20190419,SHIBORON.IR,2.661,O/N
20190422,SHIBOR1M.IR,2.791,1M
20190422,SHIBOR1W.IR,2.654,1W
20190422,SHIBOR1Y.IR,3.101,1Y
20190422,SHIBOR2W.IR,2.896,2W
20190422,SHIBOR3M.IR,2.822,3M
20190422,SHIBOR6M.IR,2.872,6M
20190422,SHIBOR9M.IR,2.974,9M
20190422,SHIBORON.IR,2.557,O/N
20190423,SHIBOR1M.IR,2.824,1M
20190423,SHIBOR1W.IR,2.7,1W
20190423,SHIBOR1Y.IR,3.106,1Y
20190423,SHIBOR2W.IR,2.915,2W
20190423,SHIBOR3M.IR,2.833,3M
20190423,SHIBOR6M.IR,2.885,6M
20190423,SHIBOR9M.IR,2.982,9M
20190423,SHIBORON.IR,2.828,O/N
20190424,SHIBOR1M.IR,2.838,1M
20190424,SHIBOR1W.IR,2.764,1W
20190424,SHIBOR1Y.IR,3.108,1Y
20190424,SHIBOR2W.IR,2.967,2W
20190424,SHIBOR3M.IR,2.855,3M
20190424,SHIBOR6M.IR,2.903,6M
20190424,SHIBOR9M.IR,2.991,9M
20190424,SHIBORON.IR,2.752,O/N
20190425,SHIBOR1M.IR,2.851,1M
20190425,SHIBOR1W.IR,2.785,1W
20190425,SHIBOR1Y.IR,3.119,1Y
20190425,SHIBOR2W.IR,3.027,2W
20190425,SHIBOR3M.IR,2.88,3M
20190425,SHIBOR6M.IR,2.917,6M
20190425,SHIBOR9M.IR,3.005,9M
20190425,SHIBORON.IR,2.785,O/N
